avg_convergence_time_mean,avg_convergence_time_std,avg_judge_latency_mean,avg_judge_latency_std,avg_read_latency_mean,avg_read_latency_std,avg_stale_version_gap_mean,avg_stale_version_gap_std,avg_visibility_lag_mean,avg_visibility_lag_std,avg_write_latency_mean,avg_write_latency_std,bus_latency,cache_hit_rate_mean,cache_hit_rate_std,conflict_checks_mean,conflict_checks_std,contested_ratio_mean,contested_ratio_std,fallback_count_mean,fallback_count_std,judge,max_stale_version_gap_mean,max_stale_version_gap_std,monotonic_read_violations_mean,monotonic_read_violations_std,p95_stale_version_gap_mean,p95_stale_version_gap_std,protocol,read_latency_p95_mean,read_latency_p95_std,read_your_writes_success_rate_mean,read_your_writes_success_rate_std,regime,replicates,scale,stale_read_rate_mean,stale_read_rate_std,total_events_mean,total_events_std,write_latency_p95_mean,write_latency_p95_std
13.588017317226535,2.992546549447778,0.0,0.0,1.6033327806333941,0.03571747913295494,3.0708559614008966,0.549328348168404,12.0,0.0,12.0,0.0,1,0.7988890731222019,0.011905826377651649,149.0,22.99275248130738,0.0,0.0,0.0,0.0,deterministic_latest,13.666666666666666,1.8856180831641267,13.666666666666666,5.436502143433364,7.333333333333333,1.247219128924647,eventual,4.0,0.0,0.4268394539712369,0.08466565073886373,high,3,large,0.401236117800535,0.02909677471082526,1022.3333333333334,160.7821161973212,12.0,0.0
9.831508431508432,0.7265613187863029,0.0,0.0,1.603381498262514,0.19431204291140228,2.525809335591944,0.21365609806482336,12.0,0.0,12.0,0.0,1,0.7988728339124953,0.06477068097046738,75.0,18.45715759987617,0.0,0.0,0.0,0.0,deterministic_latest,7.333333333333333,1.699673171197595,9.0,3.559026084010437,6.333333333333333,1.247219128924647,eventual,4.0,0.0,0.4256654844890139,0.15860593536309583,high,3,medium,0.4139477787730998,0.076995971941265,515.6666666666666,164.00474247885504,12.0,0.0
6.877183600713012,0.31146854681289693,0.0,0.0,1.5972967590457423,0.148480287113953,2.8833333333333333,0.2498147461768569,12.0,0.0,12.0,0.0,1,0.8009010803180859,0.04949342903798439,52.0,18.991226044325487,0.0,0.0,0.0,0.0,deterministic_latest,7.0,1.4142135623730951,9.666666666666666,4.4969125210773475,5.666666666666667,1.247219128924647,eventual,4.0,0.0,0.22249060654857755,0.017790459923968396,high,3,small,0.19407292496471146,0.04787306614333682,358.6666666666667,135.18957882256393,12.0,0.0
16.79861111111111,13.230247476992604,0.0,0.0,3.221757852077001,0.20738517714338106,0.6666666666666666,0.4714045207910317,12.0,0.0,12.0,0.0,1,0.2594140493076663,0.06912839238112697,6.333333333333333,2.6246692913372702,0.0,0.0,0.0,0.0,deterministic_latest,0.6666666666666666,0.4714045207910317,0.0,0.0,0.6666666666666666,0.4714045207910317,eventual,4.0,0.0,0.2222222222222222,0.31426968052735443,low,3,large,0.125,0.14829275350043486,94.33333333333333,22.395436042987768,12.0,0.0
11.0,9.899494936611665,0.0,0.0,2.9144099378881987,0.33137078472265713,0.7777777777777778,0.5665577237325317,12.0,0.0,12.0,0.0,1,0.3618633540372671,0.11045692824088571,2.6666666666666665,0.4714045207910317,0.0,0.0,0.0,0.0,deterministic_latest,1.0,0.816496580927726,0.3333333333333333,0.4714045207910317,0.6666666666666666,0.4714045207910317,eventual,4.0,0.0,0.5555555555555556,0.41573970964154905,low,3,medium,0.08347826086956521,0.05918156357277758,49.333333333333336,10.96458946893235,12.0,0.0
3.3333333333333335,4.714045207910317,0.0,0.0,2.882575757575758,0.09293821323019157,0.75,0.5400617248673217,12.0,0.0,12.0,0.0,1,0.37247474747474746,0.030979404410063898,3.0,1.4142135623730951,0.0,0.0,0.0,0.0,deterministic_latest,1.0,0.816496580927726,0.6666666666666666,0.9428090415820634,0.6666666666666666,0.4714045207910317,eventual,4.0,0.0,0.4444444444444444,0.41573970964154905,low,3,small,0.10227272727272728,0.07594673354455841,37.0,15.895492023421818,12.0,0.0
23.219129945885165,6.740020023279149,0.0,0.0,2.2314223314223316,0.11955123647123864,1.9011627906976745,0.4825702905018055,12.0,0.0,12.0,0.0,1,0.5895258895258896,0.039850412157079525,33.0,5.715476066494082,0.0,0.0,0.0,0.0,deterministic_latest,5.333333333333333,2.494438257849294,1.0,0.816496580927726,4.0,1.632993161855452,eventual,4.0,0.0,0.7576023391812865,0.023541189716807444,medium,3,large,0.3507052507052507,0.04826811760199506,287.6666666666667,38.852999312222416,12.0,0.0
13.251367845117844,2.2038866886964326,0.0,0.0,2.216137123745819,0.10912732651264075,1.6944444444444444,0.501540835701883,12.0,0.0,12.0,0.0,1,0.5946209587513935,0.036375775504213614,13.333333333333334,3.2998316455372216,0.0,0.0,0.0,0.0,deterministic_latest,3.6666666666666665,1.8856180831641267,0.3333333333333333,0.4714045207910317,3.0,1.632993161855452,eventual,4.0,0.0,0.6878306878306878,0.08629368481640262,medium,3,medium,0.21822742474916387,0.032303548947125456,137.33333333333334,14.704496666741852,12.0,0.0
5.633333333333333,2.0531818125912658,0.0,0.0,1.9772727272727273,0.1770200219022412,1.349206349206349,0.11718113539867782,12.0,0.0,12.0,0.0,1,0.6742424242424242,0.05900667396741375,11.666666666666666,2.494438257849294,0.0,0.0,0.0,0.0,deterministic_latest,2.0,0.0,3.0,0.0,1.6666666666666667,0.4714045207910317,eventual,4.0,0.0,0.35238095238095235,0.1587936381003149,medium,3,small,0.1553030303030303,0.09647323987319731,121.0,20.396078054371138,12.0,0.0
14.679850910535585,2.0223947993814875,0.0,0.0,1.6033327806333941,0.03571747913295494,3.21479166546947,0.2048365686230866,4.0,0.0,4.0,0.0,1,0.7988890731222019,0.011905826377651649,149.0,22.99275248130738,0.0,0.0,0.0,0.0,deterministic_latest,17.333333333333332,2.494438257849294,7.666666666666667,4.642796092394707,7.333333333333333,0.4714045207910317,hybrid,4.0,0.0,0.45961945031712476,0.07797476595155055,high,3,large,0.6144238015403659,0.05547646047814131,1022.3333333333334,160.7821161973212,4.0,0.0
12.352700893007356,0.9261266672281651,0.0,0.0,1.603381498262514,0.19431204291140228,2.6665349220496277,0.15920146168140598,4.0,0.0,4.0,0.0,1,0.7988728339124953,0.06477068097046738,75.0,18.45715759987617,0.0,0.0,0.0,0.0,deterministic_latest,9.0,2.449489742783178,4.333333333333333,2.494438257849294,7.666666666666667,2.494438257849294,hybrid,4.0,0.0,0.48118027529792234,0.18313266605256837,high,3,medium,0.5500606569413611,0.06165825704057404,515.6666666666666,164.00474247885504,4.0,0.0
7.309501661129569,1.1501162965438931,0.0,0.0,1.5972967590457423,0.148480287113953,2.499188258977856,0.14650512097694474,4.0,0.0,4.0,0.0,1,0.8009010803180859,0.04949342903798439,52.0,18.991226044325487,0.0,0.0,0.0,0.0,deterministic_latest,8.666666666666666,1.699673171197595,7.333333333333333,3.681787005729087,5.0,0.816496580927726,hybrid,4.0,0.0,0.2528180354267311,0.022428966629926123,high,3,small,0.4120547007113608,0.06511000703031278,358.6666666666667,135.18957882256393,4.0,0.0
32.44444444444444,12.353836810910904,0.0,0.0,3.221757852077001,0.20738517714338106,0.6666666666666666,0.4714045207910317,4.0,0.0,4.0,0.0,1,0.2594140493076663,0.06912839238112697,6.333333333333333,2.6246692913372702,0.0,0.0,0.0,0.0,deterministic_latest,0.6666666666666666,0.4714045207910317,0.0,0.0,0.6666666666666666,0.4714045207910317,hybrid,4.0,0.0,0.2222222222222222,0.31426968052735443,low,3,large,0.125,0.14829275350043486,94.33333333333333,22.395436042987768,4.0,0.0
11.555555555555555,8.390176501623495,0.0,0.0,2.9144099378881987,0.33137078472265713,1.1111111111111112,0.1571348402636772,4.0,0.0,4.0,0.0,1,0.3618633540372671,0.11045692824088571,2.6666666666666665,0.4714045207910317,0.0,0.0,0.0,0.0,deterministic_latest,1.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317,1.0,0.0,hybrid,4.0,0.0,0.5555555555555556,0.41573970964154905,low,3,medium,0.14443064182194618,0.012121123272836536,49.333333333333336,10.96458946893235,4.0,0.0
7.111111111111112,6.308919807368174,0.0,0.0,2.882575757575758,0.09293821323019157,1.0,0.0,4.0,0.0,4.0,0.0,1,0.37247474747474746,0.030979404410063898,3.0,1.4142135623730951,0.0,0.0,0.0,0.0,deterministic_latest,1.0,0.0,0.6666666666666666,0.9428090415820634,1.0,0.0,hybrid,4.0,0.0,0.4444444444444444,0.41573970964154905,low,3,small,0.27146464646464646,0.08505641309646107,37.0,15.895492023421818,4.0,0.0
23.633440972890515,5.818608749877496,0.0,0.0,2.2314223314223316,0.11955123647123864,1.9319073083778966,0.4357104993993838,4.0,0.0,4.0,0.0,1,0.5895258895258896,0.039850412157079525,33.0,5.715476066494082,0.0,0.0,0.0,0.0,deterministic_latest,5.333333333333333,1.247219128924647,1.0,0.816496580927726,4.0,0.816496580927726,hybrid,4.0,0.0,0.7576023391812865,0.023541189716807444,medium,3,large,0.4342979342979343,0.06634771016043346,287.6666666666667,38.852999312222416,4.0,0.0
16.40776182881446,0.8330961848851979,0.0,0.0,2.216137123745819,0.10912732651264075,1.788888888888889,0.3467663674294941,4.0,0.0,4.0,0.0,1,0.5946209587513935,0.036375775504213614,13.333333333333334,3.2998316455372216,0.0,0.0,0.0,0.0,deterministic_latest,4.0,1.4142135623730951,0.3333333333333333,0.4714045207910317,3.6666666666666665,1.247219128924647,hybrid,4.0,0.0,0.7116402116402116,0.05511287475132183,medium,3,medium,0.27278428093645485,0.04037943618390681,137.33333333333334,14.704496666741852,4.0,0.0
8.660455486542443,1.4851721222610408,0.0,0.0,1.9772727272727273,0.1770200219022412,1.8730392156862745,0.44461135610519537,4.0,0.0,4.0,0.0,1,0.6742424242424242,0.05900667396741375,11.666666666666666,2.494438257849294,0.0,0.0,0.0,0.0,deterministic_latest,4.0,0.816496580927726,1.6666666666666667,0.4714045207910317,3.3333333333333335,0.9428090415820634,hybrid,4.0,0.0,0.35238095238095235,0.1587936381003149,medium,3,small,0.33775252525252525,0.07207483902279081,121.0,20.396078054371138,4.0,0.0
10.550813743043896,1.5211785539936453,0.0,0.0,1.9562985421881127,0.002938903492796797,2.0322883509324186,0.14538473572614244,1.5496214129336288,0.03381633963205486,1.5496214129336288,0.03381633963205486,1,0.21191498246712973,0.026799868365140683,0.0,0.0,0.0,0.0,0.0,0.0,deterministic_latest,9.333333333333334,2.6246692913372702,1.0,0.0,4.666666666666667,0.4714045207910317,mesi,4.0,0.816496580927726,0.4700345254380822,0.07085481609353211,high,3,large,0.5130997781304529,0.07300180591559328,996.3333333333334,159.36819702256227,2.0,0.0
11.16909292003359,1.3672084618169524,0.0,0.0,2.7834233883313635,0.0875452972353014,2.444324174828576,0.12268387335151962,2.0888595354704167,0.03664319992131935,2.0888595354704167,0.03664319992131935,2,0.2118863824385297,0.017489233903907272,0.0,0.0,0.0,0.0,0.0,0.0,deterministic_latest,11.666666666666666,1.8856180831641267,1.0,0.816496580927726,7.333333333333333,0.9428090415820634,mesi,5.333333333333333,0.9428090415820634,0.4257192608166948,0.0732338589979265,high,3,large,0.5701927168184837,0.04021221267513469,997.0,161.32162491949634,3.0,0.0
12.217037986198093,1.5829954866372131,0.0,0.0,4.388307588921086,0.03194709352528068,2.748630829591878,0.5614230345370732,3.1731285414410753,0.04878171842614644,3.1731285414410753,0.04878171842614644,4,0.21443213590452853,0.018062932396136006,0.0,0.0,0.0,0.0,0.0,0.0,deterministic_latest,13.666666666666666,4.189935029992178,1.6666666666666667,0.4714045207910317,8.0,2.943920288775949,mesi,7.666666666666667,0.4714045207910317,0.3588495572509165,0.06367585161293897,high,3,large,0.6235110658423542,0.01457557945517884,996.0,159.88120589988054,5.0,0.0
10.309558252647683,1.6584688612759853,0.0,0.0,1.9376502900137471,0.1027429036520959,2.4612016336154268,0.41941460359772165,1.5583881599372134,0.03738696748645767,1.5583881599372134,0.03738696748645767,1,0.3291264390697057,0.030911418597249996,0.0,0.0,0.0,0.0,0.0,0.0,deterministic_latest,6.333333333333333,1.699673171197595,3.0,1.4142135623730951,5.0,1.4142135623730951,mesi,4.333333333333333,0.9428090415820634,0.47720620323360047,0.199059867904016,high,3,medium,0.43084473986755,0.0817704101288021,493.6666666666667,159.12748208765058,2.0,0.0
