accepted_writes,avg_convergence_time,avg_judge_latency,avg_read_latency,avg_stale_version_gap,avg_visibility_lag,avg_write_latency,bus_latency,cache_hit_rate,cache_hits,cache_misses,conflict_checks,contested_ratio,contested_writes,deterministic_profile,duration,fallback_count,invalidations,judge,judge_mode,judge_provider_breakdown,llm_failure_categories,max_stale_version_gap,monotonic_read_violations,num_agents,num_artifacts,operations,p95_stale_version_gap,protocol,read_latency_p50,read_latency_p95,read_latency_p99,read_your_writes_checks,read_your_writes_success_rate,read_your_writes_successes,reason_code_counts,regime,run_error,run_status,scale,seed,stale_read_rate,stale_reads,sync_requests,total_events,write_latency_p50,write_latency_p95,write_latency_p99
40,18.884615384615383,,2.0636363636363635,1.8545454545454545,2.5,4.0,1,0.6454545454545455,71,39,40,0.0,0,latest,90,0,0,deterministic_latest,deterministic,"{""deterministic"": 40}",{},5,1,8,12,150,4.0,strong,1.0,4.0,4.0,30,0.7333333333333333,22,"{""no_contradiction"": 40}",medium,,ok,large,7,0.5,55,0,380,4.0,4.0,4.0
33,32.89449541284404,,2.2972972972972974,2.5,2.5,4.0,1,0.5675675675675675,42,32,33,0.0,0,latest,90,0,0,deterministic_latest,deterministic,"{""deterministic"": 33}",{},7,0,8,12,107,5.0,strong,1.0,4.0,4.0,19,0.7894736842105263,15,"{""no_contradiction"": 33}",medium,,ok,large,17,0.4594594594594595,34,0,280,4.0,4.0,4.0
26,23.62121212121212,,2.3333333333333335,1.4411764705882353,2.5,4.0,1,0.5555555555555556,55,44,26,0.0,0,latest,90,0,0,deterministic_latest,deterministic,"{""deterministic"": 26}",{},4,2,8,12,125,3.0,strong,1.0,4.0,4.0,12,0.75,9,"{""no_contradiction"": 26}",medium,,ok,large,29,0.3434343434343434,34,0,302,4.0,4.0,4.0
27,9.982142857142858,,1.7826086956521738,2.3333333333333335,2.5,4.0,1,0.7391304347826086,34,12,27,0.0,0,latest,40,0,0,deterministic_latest,deterministic,"{""deterministic"": 27}",{},7,3,3,4,73,4.0,strong,1.0,4.0,4.0,23,0.2608695652173913,6,"{""no_contradiction"": 27}",high,,ok,small,7,0.32608695652173914,15,0,200,4.0,4.0,4.0
73,7.3283582089552235,,1.4191176470588236,2.689655172413793,2.5,4.0,1,0.8602941176470589,117,19,73,0.0,0,latest,40,0,0,deterministic_latest,deterministic,"{""deterministic"": 73}",{},8,12,3,4,209,6.0,strong,1.0,4.0,4.0,69,0.2753623188405797,19,"{""no_contradiction"": 73}",high,,ok,small,17,0.4264705882352941,58,0,564,4.0,4.0,4.0
56,8.598837209302326,,1.5901639344262295,2.4745762711864407,2.5,4.0,1,0.8032786885245902,98,24,56,0.0,0,latest,40,0,0,deterministic_latest,deterministic,"{""deterministic"": 56}",{},11,7,3,4,178,5.0,strong,1.0,4.0,4.0,54,0.2222222222222222,12,"{""no_contradiction"": 56}",high,,ok,small,29,0.48360655737704916,59,0,468,4.0,4.0,4.0
86,13.118421052631579,,1.4111675126903553,2.672268907563025,2.5,4.0,1,0.8629441624365483,170,27,86,0.0,0,latest,65,0,0,deterministic_latest,deterministic,"{""deterministic"": 86}",{},12,7,5,7,283,11.0,strong,1.0,4.0,4.0,74,0.3108108108108108,23,"{""no_contradiction"": 86}",high,,ok,medium,7,0.6040609137055838,119,0,738,4.0,4.0,4.0
90,13.20253164556962,,1.5294117647058822,2.8585858585858586,2.5,4.0,1,0.8235294117647058,140,30,90,0.0,0,latest,65,0,0,deterministic_latest,deterministic,"{""deterministic"": 90}",{},9,5,5,7,260,7.0,strong,1.0,4.0,4.0,78,0.3974358974358974,31,"{""no_contradiction"": 90}",high,,ok,medium,17,0.5823529411764706,99,0,700,4.0,4.0,4.0
49,15.159090909090908,,1.8695652173913044,2.46875,2.5,4.0,1,0.7101449275362319,49,20,49,0.0,0,latest,65,0,0,deterministic_latest,deterministic,"{""deterministic"": 49}",{},6,1,5,7,118,5.0,strong,1.0,4.0,4.0,34,0.7352941176470589,25,"{""no_contradiction"": 49}",high,,ok,medium,29,0.463768115942029,32,0,334,4.0,4.0,4.0
160,13.319723618090451,,1.5613496932515338,3.47196261682243,2.5,4.0,1,0.8128834355828221,265,61,160,0.0,0,latest,90,0,0,deterministic_latest,deterministic,"{""deterministic"": 160}",{},20,14,8,12,486,8.0,strong,1.0,4.0,4.0,132,0.4090909090909091,54,"{""no_contradiction"": 160}",high,,ok,large,7,0.656441717791411,214,0,1292,4.0,4.0,4.0
170,18.016817593790428,,1.6,2.970731707317073,2.5,4.0,1,0.8,252,63,170,0.0,0,latest,90,0,0,deterministic_latest,deterministic,"{""deterministic"": 170}",{},14,6,8,12,485,7.0,strong,1.0,4.0,4.0,135,0.4,54,"{""no_contradiction"": 170}",high,,ok,large,17,0.6507936507936508,205,0,1310,4.0,4.0,4.0
117,16.793367346938776,,1.6486486486486487,3.2016806722689077,2.5,4.0,1,0.7837837837837838,174,48,117,0.0,0,latest,90,0,0,deterministic_latest,deterministic,"{""deterministic"": 117}",{},18,3,8,12,339,7.0,strong,1.0,4.0,4.0,86,0.5697674418604651,49,"{""no_contradiction"": 117}",high,,ok,large,29,0.536036036036036,119,0,912,4.0,4.0,4.0
